UniverseId,Name,Genre,Created Date,Updated Date,Max Players,Playability Status,Is Experimental,Price,Visits,Developer,Thumbnail URL,PlayerCount,Upvotes,Downvotes
3187798118,Block Tycoon ☃️ [HOLIDAYS EVENT] ❄️,All,2021-12-22T17:37:58.09Z,2024-12-13T12:45:32.664363Z,4,N/A,False,,88647619,Alon's Studio,N/A,1380,84620,19941
4153755477,[UPD] Create a Cart Ride! 🎅,Adventure,2022-12-03T11:48:22.88Z,2024-12-14T20:41:56.4624338Z,30,N/A,False,,560985672,Just For Fun™,N/A,3205,412209,67029
6307897893,Cars RNG,All,2024-07-23T07:08:35.4Z,2024-12-14T13:44:12.1347903Z,25,N/A,False,,8480861,Cars RNG,N/A,2278,189404,5057
6385911588,[🏝️UPD] Skyblock Tycoon🗡️,All,2024-08-08T00:48:58.493Z,2024-12-14T23:54:45.4024398Z,10,N/A,False,,992817,Flappy Bit Games,N/A,1512,12289,536
6420341213,[🎄XMAS] Anime Slashing Simulator,Adventure,2024-08-15T10:02:08.56Z,2024-12-14T21:05:23.0258988Z,12,N/A,False,,10881954,Swansa X Peaceful Play,N/A,2752,105019,1718
6765050894,Cross Road Simulator,All,2024-11-06T09:24:33.817Z,2024-12-11T10:02:50.603Z,8,N/A,False,,2683786,kayo*,N/A,918,30439,1380
5917153267,[🎅PART 2!🎅] Clicking Universe!,All,2024-04-26T20:36:31.567Z,2024-12-14T23:25:26.8485172Z,8,N/A,False,,1416326,Boat Entertainment,N/A,1925,9031,442
4069560710,[🎄YAMATO + 🍬 CANDY + 📊 x8] ONE FRUIT,Adventure,2022-11-02T00:55:15.77Z,2024-12-14T17:42:13.0651262Z,12,N/A,False,,202399304,[B:S] One Fruit Team,N/A,5653,340336,17632
5557213486,[NEW CARS] Drive X 🏎️ CARS,All,2024-01-22T18:02:04.807Z,2024-12-06T16:44:55.83Z,50,N/A,False,,42318329,Powerhouse Production,N/A,2168,15542,1964
6286149088,CHRISTMAS [BETA] Fazbear World Tower Defense,All,2024-07-18T23:16:39.82Z,2024-12-14T22:47:11.7427206Z,25,N/A,False,,2956538,Kypher Studios,N/A,1059,5137,489
5682590273,👺Demon Warriors[🎅XMAS],Adventure,2024-02-24T05:59:34.393Z,2024-12-13T19:46:41.5260595Z,8,N/A,False,,18207194,Yes Madam,N/A,3142,268256,5692
6749892429,Everything Upgrade Tree,All,2024-11-02T11:38:13.58Z,2024-12-14T23:01:46.0316322Z,24,N/A,False,,760401,Omegauspicious Games,N/A,2528,2037,491
6838282636,Anime RNG TD[🍀],All,2024-11-25T02:15:43.927Z,2024-12-14T01:31:54.0064981Z,6,N/A,False,,1041272,BestBunny,N/A,4132,9077,362
5682590751,🗝️Lootify[🎄UPD],All,2024-02-24T05:59:44.317Z,2024-12-14T04:00:56.4138901Z,20,N/A,False,,1502357,Yes Madam,N/A,9392,2370,509
6688157118,Musical Chairs 🎵🪑,All,2024-10-18T07:02:41.78Z,2024-12-13T21:45:29.1881118Z,14,N/A,False,,7205691,Infinity Forge Interactive,N/A,6048,3938,1348
6707883359,Ultimate Horse Race [ Xmas🎅],All,2024-10-23T02:47:05.173Z,2024-12-13T10:22:40.557Z,12,N/A,False,,3248835,Horse Race Champion,N/A,2784,3605,267
6764180126,[UPD]🐟GO FISHING,All,2024-11-06T01:05:19.707Z,2024-12-15T00:03:12.1003854Z,16,N/A,False,,21356119,Fishing Forum,N/A,49135,60874,4075
6783518913,Sell Water to RULE THE WORLD 💧🌎,All,2024-11-10T21:05:09.78Z,2024-12-07T17:15:52.047Z,6,N/A,False,,4016507,Yungmuney Neanderthals,N/A,4405,36430,1995
6491900489,Carry an Egg [2 Player Obby],All,2024-08-31T04:42:03.827Z,2024-12-14T16:36:00.5951575Z,12,N/A,False,,43287909,Skeptic Softworks,N/A,27485,9588,3281
6710779449,Short Creepy Horror Stories [Christmas],All,2024-10-24T00:17:19.74Z,2024-11-30T19:57:16.927Z,30,N/A,False,,6820374,kharbor_ykt,N/A,2166,2650,595
3359505957,Collect All Pets!,All,2022-02-20T17:07:04.26Z,2024-12-10T14:16:50.153Z,12,N/A,False,,162585678,TwoZoos,N/A,4283,110345,8631
6691764291,[EVENT] Liar's Table,All,2024-10-19T03:20:44.227Z,2024-12-11T03:21:35.65Z,40,N/A,False,,12792445,Overhaul Entertainment,N/A,3651,13732,2184
4826476142,dingus,Comedy,2023-07-01T19:32:32.867Z,2024-12-07T17:00:45.51Z,30,N/A,False,,64696975,DecimalCubed,N/A,1081,125541,16409
3267012194,LOCOfficial!,All,2022-01-17T23:01:42.923Z,2024-10-25T03:12:16.463Z,50,N/A,False,,213905047,Rawblocky,N/A,3382,215833,30072
1000233041,3008 [2.73],Horror,2019-01-20T15:38:59.747Z,2024-12-14T01:34:38.3199086Z,16,N/A,False,,2431624729,uglyburger0,N/A,20297,1676270,154956
6505212049,Drive it! [2 Player Obby],All,2024-09-02T21:58:14.553Z,2024-12-13T16:01:42.0691078Z,12,N/A,False,,37367642,density.,N/A,2816,145213,5781
6623153829,Chained Cars [2 Player Obby],All,2024-10-01T14:51:51.483Z,2024-12-14T17:00:02.146036Z,12,N/A,False,,26952170,Punchline Team,N/A,6358,24485,3141
3204175584,Redcliff City 🏡RP,Town and City,2021-12-27T02:12:57.403Z,2024-12-14T11:14:30.1477322Z,24,N/A,False,,854660154,Redcliff City RP,N/A,5909,179618,26664
6215464786,Chained [2 Player Obby],All,2024-07-04T17:46:30.063Z,2024-12-12T16:46:58.933Z,15,N/A,False,,108400002,1-Day,N/A,4328,63491,6497
1686885941,Brookhaven 🏡RP,Town and City,2020-04-21T02:15:38.373Z,2024-12-07T16:03:03.6Z,22,N/A,False,,57447986563,Wolfpaq,N/A,516148,6242493,983576
1424449565,🎃 Super Golf!,Sports,2019-11-29T02:42:56.88Z,2024-10-31T04:18:45.303Z,20,N/A,False,,210762934,Nosniy Games,N/A,1384,278988,72020
6149138290,[🎅] Anime Card Battle,All,2024-06-21T00:41:39.267Z,2024-12-14T04:14:22.4113046Z,25,N/A,False,,93808609,Kung Fu Cat Panda Pepper,N/A,8910,78218,6480
93740418,Hide and Seek Extreme,Adventure,2015-01-18T14:37:18.027Z,2024-10-11T12:22:38.55Z,14,N/A,False,,2946787104,Tim7775,N/A,7028,887380,87394
1278035280,Warrior Cats: Ultimate Edition,RPG,2019-08-15T21:39:42.407Z,2024-12-12T23:00:36.28Z,60,N/A,False,,560193506,WarriorCatsRP,N/A,6321,399150,30289
3232838484,⭐ [RE] RH Dance Studio : Testing,All,2022-01-05T04:44:26.62Z,2024-12-14T20:49:04.7409211Z,50,N/A,False,,2890865,RH Studios,N/A,1633,3515,198
1073273083,Cook Burgers,Town and City,2019-03-17T17:01:00.107Z,2024-12-07T10:54:13.93Z,6,N/A,False,,560588401,Sssqd,N/A,2718,455278,101582
3150475059,Football Fusion 2,Sports,2021-12-08T16:33:04.113Z,2024-11-16T06:57:22.77Z,14,N/A,False,,1346867121,XSTNS GAMES,N/A,10979,579320,116088
210851291,Build A Boat For Treasure,Adventure,2016-11-02T15:36:44.187Z,2024-02-29T17:06:10.07Z,7,N/A,False,,4170432794,Chillz Studios,N/A,22587,3090877,229926
3258302407,[🎄EVENT!] Rebirth Champions X,All,2022-01-14T23:58:16.1Z,2024-12-14T16:37:26.4747876Z,10,N/A,False,,133564197,Powerful Studio,N/A,1053,255556,11743
4319996251,[Concept| +12] 💃TOD ,All,2023-01-24T22:23:09.873Z,2024-12-13T22:43:54.9359377Z,30,N/A,False,,167276154,OofMayy Studios,N/A,5560,79710,7345
